,id,carat,cut,color,clarity,depth,price
0,0,0.3,3,6,1,62.4,6.353
1,1,1.01,4,5,5,62.7,9.183
2,2,0.72,4,4,3,61.8,7.983
3,3,1.08,2,3,1,63.2,8.371
4,4,0.36,3,3,4,62.3,6.588
5,5,0.53,4,4,4,61.4,7.496
6,6,1.74,3,2,2,62.1,8.979
7,7,0.33,4,5,5,60.0,6.877
8,8,0.32,2,5,3,62.9,6.554
9,9,0.27,4,5,5,61.8,6.683
10,10,0.63,4,6,2,61.1,7.484
11,11,0.31,4,3,3,61.4,6.353
12,12,0.53,4,4,4,62.0,7.554
13,13,0.7,2,2,4,62.2,7.671
14,14,0.74,2,2,2,62.4,7.794
15,15,1.29,2,1,3,62.8,8.727
16,16,0.71,4,6,2,62.0,8.087
17,17,0.32,4,3,2,62.3,6.23
18,18,0.52,4,3,4,61.6,7.451
19,19,0.42,3,3,6,59.3,7.072
20,20,1.06,3,5,1,61.7,8.445
21,21,0.58,4,1,6,62.3,7.365
23,23,0.3,4,3,7,62.0,6.76
25,25,0.51,4,4,6,61.4,7.911
27,27,0.41,4,3,7,62.3,7.266
28,28,0.42,4,5,4,61.6,7.074
29,29,1.12,3,2,1,61.9,8.456
30,30,1.22,3,1,2,62.1,8.606
31,31,0.5,2,2,2,60.9,7.033
32,32,0.31,3,3,2,62.4,6.385
33,33,0.56,4,6,3,61.5,7.633
34,34,0.32,4,2,1,61.9,6.04
35,35,0.72,4,0,2,61.7,7.525
36,36,1.08,2,2,2,63.4,8.573
37,37,0.31,1,6,2,63.1,6.347
38,38,0.33,4,3,7,61.9,6.852
39,39,0.7,4,5,1,62.0,7.631
42,42,0.37,4,6,3,61.3,7.025
43,43,0.3,4,5,6,61.4,6.797
44,44,1.7,2,0,2,61.9,9.09
45,45,0.32,4,1,3,63.0,6.356
46,46,0.54,3,5,4,62.7,7.866
47,47,0.34,4,3,4,60.6,6.579
48,48,1.22,4,2,2,61.9,8.971
49,49,0.7,2,6,4,61.2,8.179
50,50,1.22,3,4,2,61.8,8.837
51,51,1.61,3,6,2,59.0,9.412
52,52,0.71,2,5,3,62.5,8.115
53,53,0.32,2,1,2,62.4,5.961
54,54,0.54,4,5,2,61.5,7.483
55,55,1.0,4,1,1,62.5,8.094
56,56,0.3,3,3,4,61.8,6.654
57,57,1.0,2,4,1,63.4,8.302
58,58,0.38,4,5,7,62.7,7.268
59,59,0.42,4,5,3,62.1,6.931
60,60,0.74,4,5,2,61.7,7.93
61,61,0.7,4,4,2,61.9,7.71
62,62,0.61,1,6,1,59.8,7.261
63,63,1.21,4,4,0,62.0,8.384
64,64,1.28,4,3,2,62.2,8.936
65,65,1.26,2,3,2,63.3,8.976
66,66,0.4,3,6,4,62.5,7.09
67,67,0.3,3,2,6,62.7,6.528
68,68,0.3,4,1,6,61.3,6.564
69,69,0.81,4,5,1,62.1,8.039
